job_id,title,company,description
50,Doctor,Various,"Diagnose and treat illnesses, perform procedures, and provide medical advice."
51,Dentist,Various,"Examine teeth, perform dental procedures, and educate patients."
52,Fitness Trainer,Various,"Guide clients through workouts, track progress, and promote healthy lifestyles."
53,Nutritionist,Various,"Advise clients on dietary plans, monitor health progress, and provide nutrition education."
54,Mechanical Engineer,Various,"Design mechanical systems, develop prototypes, and conduct tests."
55,Electrical Engineer,Various,"Develop electrical systems, create circuit designs, and oversee installations."
56,Civil Engineer,Various,"Plan and manage construction projects, design structures, and ensure compliance."
57,Architect,Various,"Design building plans, collaborate with engineers, and present design concepts."
58,Librarian,Various,"Manage library resources, assist patrons, and organize collections."
59,Museum Curator,Various,"Manage exhibits, preserve artifacts, and conduct research."
60,Journalist,Various,"Investigate stories, conduct interviews, and write news articles."
61,Author,Various,"Write books, edit drafts, and collaborate with publishers."
62,Scriptwriter,Various,"Write scripts for films or shows, develop characters and plots."
63,Animator,Various,"Create animations, design characters, and collaborate with artists."
64,Sound Engineer,Various,"Record, mix, and edit audio for various media."
65,3D Modeler,Various,"Design 3D models for games, simulations, and visualizations."
66,Virtual Assistant,Various,"Perform administrative tasks, schedule meetings, and manage emails remotely."
67,Real Estate Agent,Various,"Assist clients with buying and selling properties, conduct site visits."
68,Insurance Agent,Various,"Sell insurance policies, explain coverage options, and handle claims."
69,Tour Guide,Various,"Lead tourist groups, explain attractions, and ensure safety."
70,Pilot,Various,"Operate aircraft, navigate routes, and ensure passenger safety."
71,Flight Attendant,Various,"Provide in-flight service, ensure safety procedures, and assist passengers."
72,Marine Biologist,Various,"Study marine life, conduct fieldwork, and publish findings."
73,Environmental Scientist,Various,"Analyze environmental data, assess impacts, and develop conservation plans."
74,Zoologist,Various,"Study animals, monitor behavior, and conduct research in natural habitats."
75,Archaeologist,Various,"Excavate sites, analyze artifacts, and document historical findings."
76,Geologist,Various,"Study earth materials, conduct surveys, and assess natural resources."
77,Astronomer,Various,"Study celestial bodies, conduct observations, and publish research."
78,Astrophysicist,Various,"Research the physics of the universe, model systems, and write scientific papers."
79,Economist,Various,"Analyze economic trends, forecast markets, and advise policy makers."
80,Political Analyst,Various,"Interpret political developments, research policies, and write reports."
81,Historian,Various,"Study past events, analyze sources, and write historical accounts."
82,Philosopher,Various,"Explore ethical and existential questions, teach, and write papers."
83,Climatologist,Various,"Study climate patterns, predict changes, and inform policy."
84,Urban Planner,Various,"Design urban spaces, plan developments, and coordinate with stakeholders."
85,Drone Operator,Various,"Pilot drones for photography, inspections, or deliveries."
86,Ethical Hacker,Various,"Test systems for vulnerabilities, simulate attacks, and improve cybersecurity."
87,Penetration Tester,Various,"Conduct authorized hacking attempts, identify weaknesses, and report findings."
88,Cybersecurity Analyst,Various,"Monitor systems, analyze threats, and implement defenses."
89,UX Researcher,Various,"Conduct user research, gather feedback, and support design decisions."
90,Game Designer,Various,"Design game mechanics, write rules, and collaborate with developers."
91,eLearning Developer,Various,"Create online learning modules, integrate multimedia, and assess engagement."
92,Art Therapist,Various,"Use art to help patients express emotions and improve mental health."
93,Speech Therapist,Various,"Diagnose and treat speech disorders, create therapy plans, and work with patients."
94,Career Counselor,Various,"Guide individuals in career choices, assess strengths, and provide resources."
95,Compliance Officer,Various,"Ensure organizational compliance with laws, regulations, and internal policies."
96,Logistics Coordinator,Various,"Manage supply chains, coordinate shipments, and maintain inventory records."
97,Biomedical Engineer,Various,"Design medical devices, support healthcare technology, and conduct research."
98,Veterinarian,Various,"Treat and diagnose animals, perform surgeries, and advise pet owners."
99,Forensic Scientist,Various,"Analyze crime scene evidence, run lab tests, and prepare reports."
100,Patent Examiner,Various,"Review patent applications, ensure originality, and apply legal criteria."
